artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"Blake Shelton","Fully Loaded: God's Country","album","1156","15948.657","Dec 2019","May 2021","2","","","","11","",""
"Blake Shelton","God Gave Me You","song","","2694.932","Jul 2011","Jan 2012","22","","","","38","",""
"Blake Shelton","God's Country","song","","4653.133","Apr 2019","Sep 2019","17","","","","25","",""
"Blake Shelton","Gonna","song","","1538.980","Oct 2015","Feb 2016","54","","","","","",""
"Blake Shelton","Goodbye Time","song","","1514.331","Jun 2005","Aug 2005","73","","","","","",""
"Blake Shelton","Hillbilly Bone (EP)","album","","2348.366","Mar 2010","Sep 2010","3","","","","","",""
"Blake Shelton","Home","song","","2152.197","Apr 2008","Sep 2008","41","","","","","",""
"Blake Shelton","Honey Bee","song","","2523.248","Apr 2011","Sep 2011","13","","","","28","",""
"Blake Shelton","I Lived It","song","","1800.244","Mar 2018","Jul 2018","63","","","","","",""
"Blake Shelton","I'll Just Hold On","song",""," 924.632","Jul 2009","Oct 2009","76","","","","","",""
"Blake Shelton","I'll Name The Dogs","song","","2144.284","Sep 2017","Feb 2018","56","","","","78","",""
"Blake Shelton","If I'm Honest","album","1359","13819.571","Jun 2016","Aug 2017","3","","","","3","13",""
"Blake Shelton","Loaded: The Best Of Blake Shelton","album","1058","17123.308","Nov 2010","Jul 2016","18","","","","","",""
"Blake Shelton","Mine Would Be You","song","","1873.726","Aug 2013","Jan 2014","28","","","","35","",""
"Blake Shelton","Minimum Wage","song","","1023.048","Feb 2021","Jun 2021","67","","","","58","",""
"Blake Shelton","Neon Light","song","","1765.043","Sep 2014","Jan 2015","43","","","","49","",""
"Blake Shelton","Nobody But Me","song","","2098.721","Jan 2006","May 2006","60","","","","","",""
"Blake Shelton","Over","song","","1450.200","Jun 2012","Nov 2012","43","","","","","",""
"Blake Shelton","Pure BS","album","","6784.097","May 2007","Sep 2008","8","","","","","",""
"Blake Shelton","Red River Blue","album","845","20834.300","Jul 2011","Oct 2015","1","","","","13","",""
"Blake Shelton","Reloaded: 20 No. 1 Hits","album","592","27100.281","Nov 2015","Jun 2021","5","","","","12","",""
"Blake Shelton","Sangria","song","","2130.923","May 2015","Sep 2015","38","","","","43","",""
"Blake Shelton","She Wouldn't Be Gone","song","","1841.017","Nov 2008","Mar 2009","43","","","","","",""
"Blake Shelton","She's Got A Way With Words","song","","1086.646","Jul 2016","Oct 2016","61","","","","","",""
"Blake Shelton","Some Beach","song","1895","4942.293","Oct 2004","Mar 2005","28","","","","","",""
"Blake Shelton","Startin' Fires","album","","1959.827","Dec 2008","Apr 2009","34","","","","","",""
"Blake Shelton","Sure Be Cool If You Did","song","","2185.682","Jan 2013","Jun 2013","24","","","","32","",""
"Blake Shelton","Texoma Shore","album","","5088.081","Nov 2017","Jul 2018","4","","","","11","23",""
"Blake Shelton","The Baby","song","1894","4958.369","Dec 2002","Apr 2003","28","","","","","",""
"Blake Shelton","The Dreamer","album","","4428.114","Feb 2003","May 2003","8","","","","","",""
"Blake Shelton","Who Are You When I'm Not Looking","song","","1572.769","Nov 2010","Apr 2011","46","","","","","",""
"Blake Shelton & Ashley Monroe","Lonely Tonight","song","","1596.460","Dec 2014","Apr 2015","47","","","","42","",""
"Blake Shelton & Dia Frampton","I Won't Back Down","song","","  84.421","Jul 2011","Jul 2011","57","","","","","",""
"Blake Shelton & Gwen Sebastian","My Eyes","song","","1453.541","May 2014","Sep 2014","39","","","","39","",""
"Blake Shelton & Gwen Stefani","Go Ahead And Break My Heart","song","","  94.283","May 2016","Jun 2016","70","","","","","",""
"Blake Shelton & Gwen Stefani","Happy Anywhere","song","","3584.930","Aug 2020","Jan 2021","32","","","","41","",""
"Blake Shelton & Pistol Annies","Boys 'Round Here","song","","2827.166","Apr 2013","Sep 2013","12","","","","12","",""
"Blake Shelton & Trace Adkins","Hell Right","song",""," 187.945","Nov 2019","Dec 2019","99","","","","","",""
"Blake Shelton & Trace Adkins","Hillbilly Bone","song","","1310.663","Jan 2010","May 2010","40","","","","","",""
"Blake Shelton Duet & Gwen Stefani","Nobody But You","song","1694","5390.460","Dec 2019","Jul 2020","18","","","","38","",""
"Blanco Brown","The Git Up","song","1553","5772.694","Jun 2019","Jan 2020","14","96","42","","6","5",""
"Blaque","Bring It All To Me","song","743","9357.531","Jan 2000","May 2000","5","","","","","",""
"blink-182","Adam's Song","song","","  63.351","Oct 2000","Oct 2000","","","98","","","",""
"blink-182","After Midnight","song","","  58.522","Oct 2011","Oct 2011","88","","","","","",""
"blink-182","All The Small Things","song","538","11033.665","Jan 2000","Aug 2013","6","2","11","","","8",""
"blink-182","Always","song",""," 356.625","Nov 2004","Jan 2005","","36","96","","","45",""
"blink-182","Blink 182","album","378","36325.960","Nov 2003","Apr 2005","3","22","14","26","1","7",""
"blink-182","Bored To Death","song",""," 168.194","May 2016","Aug 2016","85","","","","","50",""
"blink-182","California","album","","8558.468","Jul 2016","Jun 2017","1","1","3","38","1","2",""
"blink-182","Dogs Eating Dogs (EP)","album",""," 923.859","Jan 2013","Feb 2013","23","","","","21","",""
"blink-182","Down","song",""," 445.955","Jun 2004","Aug 2004","","24","76","","","35",""
"blink-182","Dude Ranch","album","","  72.339","Sep 2000","Sep 2000","","100","","","","",""
"blink-182","Enema Of The State","album","339","38529.096","Jan 2000","Mar 2002","12","15","18","60","","4",""
"blink-182","Feeling This","song","","1747.464","Nov 2003","Sep 2004","","15","49","56","","20",""
"blink-182","First Date","song",""," 491.855","Sep 2001","Dec 2001","","31","74","81","","50",""
"blink-182","Greatest Hits","album","1286","14444.970","Nov 2005","Jun 2021","6","6","26","","3","4",""
"blink-182","I Miss You","song","1451","6036.324","Feb 2004","Feb 2015","42","8","32","","","13",""
"blink-182","Man Overboard","song","","  84.262","Nov 2000","Dec 2000","","","","","","40",""
"blink-182","Neighborhoods","album","","3520.451","Oct 2011","Feb 2012","2","6","6","33","2","2",""
"blink-182","Nine","album","","2199.362","Sep 2019","Oct 2019","3","3","4","55","5","4",""
"blink-182","Not Now","song",""," 190.270","Dec 2005","Dec 2005","","30","","","","",""
"blink-182","Stay Together For The Kids","song",""," 118.877","Feb 2002","Mar 2002","","","73","","","",""
"blink-182","Take Off Your Pants & Jacket","album","390","35660.259","Jun 2001","Sep 2002","1","4","1","13","1","2",""
"blink-182","The Mark, Tom, & Travis Show","album","","9511.580","Nov 2000","Mar 2001","8","69","43","59","4","6",""
"blink-182","The Rock Show","song","","2722.029","Jun 2001","Sep 2001","71","14","55","88","","34",""
"blink-182","Up All Night","song",""," 174.915","Jul 2011","Aug 2011","65","48","","","","30",""
"blink-182","What's My Age Again?","song","","1023.240","Jan 2000","Sep 2000","","17","80","93","","",""
"Bloc Party","A Weekend In The City","album","","7919.114","Feb 2007","Feb 2008","12","2","5","10","7","2",""
"Bloc Party","Banquet","song",""," 466.928","May 2004","Oct 2005","","13","","","","",""
"Bloc Party","Flux","song","","1155.040","Nov 2007","Mar 2008","","8","84","","","",""
"Bloc Party","Four","album","","1357.910","Aug 2012","Oct 2012","36","3","6","21","9","3",""
"Bloc Party","Helicopter","song",""," 160.259","Oct 2004","Nov 2004","","26","","","","",""
"Bloc Party","Hunting For Witches","song",""," 127.673","Jul 2007","Jul 2007","","22","","","","",""
"Bloc Party","Hymns","album",""," 368.318","Feb 2016","Feb 2016","198","12","30","84","","15",""
"Bloc Party","I Still Remember","song",""," 321.245","Apr 2007","May 2007","","20","","","","",""
"Bloc Party","Intimacy","album","","2765.404","Nov 2008","Sep 2009","18","8","18","22","17","5",""
"Bloc Party","Intimacy Remixed","album","","  48.679","May 2009","May 2009","","79","","","","",""
"Bloc Party","Little Thoughts/Tulips","song",""," 242.697","Jul 2004","May 2005","","38","","","","",""
"Bloc Party","Mercury","song",""," 237.774","Aug 2008","Sep 2008","","16","77","","","",""
"Bloc Party","One More Chance","song",""," 224.705","Aug 2009","Sep 2009","","15","","","","",""
"Bloc Party","Silent Alarm","album","1465","13009.342","Feb 2005","May 2007","114","3","22","14","","30",""
"Bloc Party","Silent Alarm Remixed","album",""," 159.529","Sep 2005","Sep 2005","","54","","171","","",""
"Bloc Party","So Here We Are/Positive Tension","song",""," 400.537","Feb 2005","Mar 2005","","5","","","","",""
"Bloc Party","Talons","song","","  84.706","Oct 2008","Nov 2008","","39","","","","",""
"Bloc Party","The Pioneers","song",""," 204.888","Jul 2005","Aug 2005","","18","","","","",""
"Bloc Party","The Prayer","song",""," 676.493","Jan 2007","Mar 2007","","4","81","","","20",""
"Bloc Party","Two More Years","song",""," 798.121","Oct 2005","Dec 2005","","7","94","","","",""
"BlocBoy JB & Drake","Look Alive","song","1011","7677.733","Feb 2018","Aug 2018","5","17","48","175","4","24",""
"Blonde & Craig David","Nothing Like This","song",""," 733.246","Mar 2016","Aug 2016","","15","","","","",""
"Bloodhound Gang","Foxtrot Uniform Charlie Kilo","song","","1183.593","Sep 2005","Jan 2006","","47","15","","","25",""
"Bloodhound Gang","Hefty Fine","album","","4620.717","Oct 2005","Apr 2006","24","","7","","","32",""
"Bloodhound Gang","Hooray For Boobies","album","709","23567.621","Jan 2000","Nov 2000","14","37","10","","6","",""
"Bloodhound Gang","Mope","song",""," 344.727","Aug 2000","Oct 2000","","","34","","","",""
"Bloodhound Gang","One Fierce Beer Coaster","album",""," 476.415","Jan 2000","Mar 2000","","","71","","","",""
"Bloodhound Gang","Screwing You On The Beach At Night","song",""," 271.857","Oct 2007","Nov 2007","","","33","","","",""
"Bloodhound Gang","Show Us Your Hits","album",""," 257.484","Dec 2010","Apr 2021","","","14","","","",""
"Bloodhound Gang","The Bad Touch","song","1330","6389.721","Jan 2000","Jul 2000","52","4","12","21","","5",""
"Bloodhound Gang","The Ballad Of Chasey Lain","song","","1340.284","Mar 2000","Nov 2000","","15","12","","","",""
"Bloodhound Gang","The Inevitable Return Of The Great White Dope","song",""," 472.452","Oct 2000","Dec 2000","","","35","","","",""
"Bloodhound Gang","Uhn Tiss Uhn Tiss Uhn Tiss","song","","1072.669","Dec 2005","May 2006","","","15","","","46",""
"Blu Cantrell","Bittersweet","album","","4504.431","Jul 2003","Oct 2003","37","20","","91","","",""
"Blu Cantrell","Hit 'em Up Style (Oops!)","song","173","17401.377","May 2001","Mar 2002","2","12","60","47","","3",""
"Blu Cantrell","So Blu","album","","8444.563","Aug 2001","Nov 2001","8","","","","","",""
"Blu Cantrell & Ian Lewis","Make Me Wanna Scream","song",""," 396.704","Dec 2003","Feb 2004","","24","58","","","",""
"Blu Cantrell & Sean Paul","Breathe","song","830","8768.537","Mar 2003","May 2013","70","1","7","13","","8",""
"Blue","4Ever Blue","album",""," 794.637","May 2005","Aug 2005","","","40","","","",""
"Blue","A chi mi dice","song","","1560.569","Apr 2004","May 2005","","","","15","","",""
"Blue","All Rise","album","1635","11728.466","Nov 2001","May 2003","","1","68","147","","31",""
"Blue","All Rise","song","","3348.799","May 2001","Jul 2002","","4","19","14","","3",""
"Blue","Best Of Blue","album","","7114.242","Nov 2004","Apr 2013","","6","7","","","",""
"Blue","Breathe Easy","song","","2633.658","Mar 2004","Apr 2012","","4","7","","","",""
"Blue","Bubblin'","song","","2413.905","Jul 2004","Dec 2004","","9","11","","","",""
"Blue","Colours","album",""," 201.962","Mar 2015","Apr 2015","","13","","","","",""
"Blue","Curtain Falls","song","","3399.236","Nov 2004","Jul 2005","","4","8","18","","",""
"Blue","Fly By II","song","","1580.857","Mar 2002","Sep 2002","","6","45","","","26",""
"Blue","Guilty","album","1985","9875.296","Nov 2003","Apr 2005","","1","8","97","","",""
"Blue","Guilty","song","","3125.650","Aug 2003","Apr 2004","","2","19","37","","29",""
"Blue","Hurt Lovers","song",""," 481.333","Jan 2013","May 2013","","70","7","","","",""
"Blue","I Can","song",""," 520.224","May 2011","Jul 2011","","16","7","","","",""
"Blue","If You Come Back","song","","1654.836","Nov 2001","May 2002","","1","48","","","19",""
"Blue","One Love","album","1467","13022.365","Nov 2002","Sep 2003","","1","15","32","","",""
"Blue","One Love","song","","2302.106","Oct 2002","Oct 2003","","3","54","36","","36",""
"Blue","Only Words I Know","song",""," 419.929","May 2005","Aug 2005","","","55","","","",""
"Blue","Roulette","album",""," 475.285","Feb 2013","May 2013","","13","14","","","",""
"Blue","Too Close","song","","1619.160","Sep 2001","Feb 2002","","1","66","","","5",""
"Blue","U Make Me Wanna","song","","2021.920","Mar 2003","Aug 2003","","4","6","","","",""
"Blue","Without You","song","","  53.096","May 2013","Jun 2013","","","44","","","",""
"Blue & Elton John","Sorry Seems To Be The Hardest Word","song","1552","5772.752","Dec 2002","Jul 2003","","1","3","6","","43",""
"Blue & Linkup","You & Me Bubblin'","song","","1066.237","Jul 2004","Nov 2004","","","","13","","",""
"Blue & Stevie Wonder","Signed, Sealed, Delivered, I'm Yours","song","","2384.270","Dec 2003","Nov 2004","","11","29","","","31",""
"Blue October","Any Man In America","album",""," 668.625","Sep 2011","Sep 2011","8","","100","","","",""
"Blue October","Approaching Normal","album","","1477.868","Apr 2009","Sep 2009","13","","","","","",""
"Blue October","Foiled","album","888","19887.344","Apr 2006","Jun 2007","29","","","","","",""
"Blue October","Foiled For The Last Time","album",""," 260.368","Oct 2007","Oct 2007","106","","","","","",""
"Blue October","Hate Me!","song","1627","5563.485","Apr 2006","Nov 2006","31","","","","","",""
"Blue October","Home","album",""," 351.633","May 2016","May 2016","19","","","","","",""
"Blue October","I Hope You're Happy","album",""," 357.413","Sep 2018","Sep 2018","28","","","","","",""
"Blue October","Into The Ocean","song","","2943.748","Dec 2006","May 2007","53","","","","","",""
"Blue October","Jump Rope","song",""," 238.019","Dec 2009","Feb 2010","","","65","","","",""
"Blue October","Sway","album",""," 600.044","Sep 2013","Sep 2013","13","","","","","",""
"Blue October","Things We Do At Night (Live From Texas)","album","","  67.594","Dec 2015","Dec 2015","175","","","","","",""
"Blue October","This Is What I Live For","album",""," 201.000","Nov 2020","Nov 2020","102","","","","","",""
"Blue October","Ugly Side: An Acoustic Evening With Blue October","album",""," 136.678","May 2011","Jun 2011","79","","","","","",""
"Blue, Kool & The Gang & Lil' Kim","Get Down On It","song",""," 548.483","Jan 2005","May 2005","","","29","","","",""
"Blueface","Thotiana","song","1795","5180.964","Jan 2019","Jun 2019","8","15","","167","12","",""
"Bo & Monica","Gonna Be A Star","song",""," 140.850","Apr 2006","Jun 2006","","","","","","",""
"Bo & Monica","Please Please Santa","song","","  64.917","Dec 2006","Jan 2007","","","","","","",""
"Bo & Monica","This Is How We Party","song","","  55.569","Aug 2006","Oct 2006","","","","","","",""
"BoB & 2 Chainz","HeadBand","song","","2110.620","Jun 2013","Jan 2014","53","","57","","","",""
"BoB & Bruno Mars","Nothin' On You","song","1514","5867.817","Feb 2010","Oct 2010","1","1","22","","10","3",""
"BoB & Chris Brown","Arena","song","","  20.962","Jan 2013","Feb 2013","","","","","","36",""
"BoB & Hayley Williams","Airplanes","song","923","8179.923","May 2010","May 2014","2","1","8","89","2","2",""
"BoB & Lil' Wayne","Strange Clouds","song","","1852.271","Oct 2011","Mar 2012","7","72","","","26","",""
"BoB & T.I. & Juicy J","We Still In This B****","song","","1463.575","Jan 2013","Jul 2013","64","","","","","",""
"BoB & Taylor Swift","Both Of Us","song","","1952.179","May 2012","Oct 2012","18","22","","","23","5",""
"BoB & Trey Songz","Not For Long","song",""," 617.375","Jan 2015","Mar 2015","80","","","","","",""
"Bob Dylan","1970","album",""," 498.781","Feb 2021","Apr 2021","","13","10","156","","",""
"Bob Dylan","Another Self Portrait (1969-1971): The Bootleg Series Vol. 10","album","","2041.971","Aug 2013","Nov 2013","21","5","2","41","","20",""
"Bob Dylan","Best Of - Vol 2","album",""," 371.116","May 2000","Jun 2000","","22","","","","",""
"Bob Dylan","Blood On The Tracks","album","","  87.978","Apr 2019","Apr 2019","","43","","","","",""
"Bob Dylan","Blood On The Tracks: Test Pressing","album",""," 143.859","Apr 2019","May 2019","130","","","","","",""
"Bob Dylan","Blowin' In The Wind","song","","  92.553","Mar 2009","Oct 2016","","93","","73","","",""
"Bob Dylan","Bob Dylan In Concert: Brandeis University 1963","album",""," 143.366","Apr 2011","May 2011","128","59","","","","",""
"Bob Dylan","Christmas In The Heart","album","","2654.458","Oct 2009","Jan 2010","23","40","37","119","","",""
"Bob Dylan","Dylan","album","","5103.956","Oct 2007","Jul 2009","36","10","26","","","25",""
"Bob Dylan","Fallen Angels","album","","1818.555","May 2016","Aug 2017","7","5","7","35","24","11",""
"Bob Dylan","Greatest Hits","album","","  95.997","Oct 2005","Oct 2005","","88","","","","",""
"Bob Dylan","Highway 61 Revisited","album",""," 129.886","Oct 2005","Mar 2017","","99","","141","","",""
"Bob Dylan","Hurricane","song","","   7.358","Oct 2016","Oct 2016","","","","158","","",""
"Bob Dylan","Knockin' On Heaven's Door","song","","  79.648","May 2012","Oct 2016","","","","88","","",""
"Bob Dylan","L'explosion rock","album","","  76.259","Mar 2012","Apr 2012","","","","94","","",""
"Bob Dylan","Like A Rolling Stone","song","","  10.727","Oct 2016","Oct 2016","","","","115","","",""
"Bob Dylan","Live 1962-1966 - Rare Performances","album","","  82.321","Aug 2018","Sep 2018","","49","","","","",""
"Bob Dylan","Live 1975 - The Rolling Thunder Revue","album",""," 100.721","Dec 2002","Dec 2002","","69","","","","",""
"Bob Dylan","Love And Theft","album","1471","12870.418","Sep 2001","Apr 2002","5","3","4","13","3","6",""
"Bob Dylan","Modern Times","album","978","18096.635","Sep 2006","Jan 2008","1","3","2","17","1","1",""
"Bob Dylan","More Blood More Tracks-Bootleg Series 14","album",""," 211.104","Nov 2018","Nov 2018","","9","","","","",""
"Bob Dylan","More Blood, More Tracks: The Bootleg Series, Vol. 14","album",""," 482.128","Nov 2018","Nov 2018","25","","","","","",""
"Bob Dylan","Mr Tambourine Man","song","","  14.168","Apr 2013","Oct 2016","","","","160","","",""
"Bob Dylan","MTV Unplugged [DVD]","album","","  57.730","Apr 2004","Apr 2004","","","96","","","",""
"Bob Dylan","Must Be Santa","song","","  56.319","Dec 2009","Jan 2010","","41","","","","",""
"Bob Dylan","Playlist: The Very Best Of Bob Dylan '70s","album",""," 430.653","Sep 2009","Oct 2009","97","","","","","",""
"Bob Dylan","Pure Dylan","album","","  48.685","Nov 2011","Nov 2011","","","73","","","",""
"Bob Dylan","Rough And Rowdy Ways","album","","6434.675","Jun 2020","Dec 2020","2","1","1","4","14","2",""
"Bob Dylan","Shadows In The Night","album","","3235.051","Feb 2015","Nov 2015","7","1","6","30","10","8",""
"Bob Dylan","Super Hits","album",""," 117.796","Jul 2012","Jul 2012","175","","","","","",""
"Bob Dylan","Tempest","album","","4516.315","Sep 2012","Aug 2014","3","3","2","6","4","8",""
"Bob Dylan","The 1966 Live Recordings","album",""," 100.443","Nov 2016","Dec 2016","","","38","152","","",""
"Bob Dylan","The 30th Anniversary Concert Celebration","album",""," 199.646","Mar 2014","Apr 2014","","","20","","","",""
"Bob Dylan","The Basement Tapes Complete: The Bootleg Series Vol. 11","album",""," 668.398","Nov 2014","Mar 2015","42","17","","58","","",""
"Bob Dylan","The Basement Tapes Raw: The Bootleg Series Vol. 11","album",""," 915.749","Nov 2014","Dec 2014","41","","9","","","29",""
"Bob Dylan","The Best Of Bob Dylan","album",""," 308.145","Apr 2011","Jan 2017","54","","","147","","",""
"Bob Dylan","The Best Of Bob Dylan Volume 2","album",""," 218.675","May 2000","Jun 2000","","","75","","","",""
"Bob Dylan","The Best Of Bob Dylan Volumes 1 & 2","album",""," 179.229","Mar 2001","Apr 2001","","","","","","12",""
"Bob Dylan","The Best Of The Cutting Edge 1965-1966","album",""," 234.142","Nov 2015","Dec 2015","","12","","","","",""
"Bob Dylan","The Best of The Original Mono Recordings","album",""," 102.037","Nov 2010","Nov 2010","91","","","","","",""
"Bob Dylan","The Bootleg Series Vol. 12 - 1965-1966: The Best Of The Cutting Edge","album","","1040.203","Nov 2015","Jan 2016","33","","10","59","","26",""
"Bob Dylan","The Bootleg Series Vol. 13 / 1979-1981 - Trouble No More","album",""," 896.468","Nov 2017","Jan 2018","49","21","10","73","93","",""
"Bob Dylan","The Bootleg Series Vol. 14 - More Blood, More Tracks","album",""," 688.491","Nov 2018","Dec 2018","","","4","72","","25",""
"Bob Dylan","The Bootleg Series Vol. 5: Live 1975 - The Rolling Thunder Revue","album","","2375.959","Nov 2002","Feb 2003","56","","79","131","","",""
"Bob Dylan","The Bootleg Series Vol. 6: Live 1964 Concert At Philharmonic Hall","album","","1936.252","Mar 2004","May 2004","28","33","61","99","","",""
"Bob Dylan","The Bootleg Series Vol. 7: No Direction Home","album","","5299.579","Sep 2005","Jan 2006","16","21","56","111","","50",""
"Bob Dylan","The Bootleg Series Vol. 8: Tell Tale Signs - Rare And Unreleased - 1989-2006","album","","3245.449","Oct 2008","Jan 2009","6","9","17","68","17","32",""
"Bob Dylan","The Bootleg Series Vol. 9: The Witmark Demos: 1962-1964","album","","1118.719","Oct 2010","Dec 2010","12","18","24","56","","36",""
"Bob Dylan","The Complete Album Collection Vol. One","album","","  70.701","Nov 2013","Nov 2013","","","41","","","",""
"Bob Dylan","The Essential Bob Dylan","album","","9536.935","Nov 2000","Nov 2016","67","9","","80","","36",""
"Bob Dylan","The Original Mono Recordings","album",""," 132.513","Oct 2010","Nov 2010","152","","58","","","",""
"Bob Dylan","The Real","album","","  37.489","Mar 2013","Mar 2013","","80","","","","",""
"Bob Dylan","The Real Royal Albert Hall 1966 Concert","album",""," 255.135","Dec 2016","Dec 2016","113","60","85","165","","",""
"Bob Dylan","The Rolling Thunder Revue - The 1975 Live Recordings","album",""," 448.174","Jun 2019","Jul 2019","","","10","","","50",""
"Bob Dylan","The Rolling Thunder Revue- The 1975 Live","album",""," 121.730","Jun 2019","Jun 2019","","20","","","","",""
"Bob Dylan","The Rolling Thunder Revue: The 1975 Live Recordings (Soundtrack)","album",""," 186.318","Jun 2019","Jun 2019","100","","","","","",""
"Bob Dylan","The Times They Are A-Changin'","album","","  15.960","Oct 2016","Oct 2016","","","","149","","",""
"Bob Dylan","The Ultimate Collection","album",""," 847.234","Jun 2001","Aug 2001","","","16","","","",""
"Bob Dylan","The Very Best Of","album","","1912.969","Nov 2013","Jul 2020","","16","","","","",""
"Bob Dylan","Things Have Changed","song","","  99.079","Oct 2000","Oct 2000","","58","","","","",""
"Bob Dylan","Together Through Life","album","","7140.673","Apr 2009","Feb 2010","1","1","2","9","4","5",""
"Bob Dylan","Travelin' Thru: The Bootleg Series, Vol. 15: 1967 - 1969","album",""," 974.758","Nov 2019","Dec 2019","","6","11","62","","21",""
"Bob Dylan","Triplicate","album","","1322.824","Apr 2017","Jun 2017","37","17","7","20","57","36",""
"Bob Dylan","Wigwam","song","","  21.804","Jan 2015","Jan 2015","","","","126","","",""
"Bob Dylan & Johnny Cash","Travelin' Thru: The Bootleg Series, Vol. 15: 1967 - 1969","album",""," 413.081","Nov 2019","Nov 2019","27","","","","85","",""
"Bob Dylan & Mark Ronson","Most Likely You Go Your Way (And I'll Go Mine)","song",""," 117.113","Sep 2007","Oct 2007","","51","99","","","",""
"Bob Dylan & Special Guest George Harrison","1970","album",""," 270.068","Mar 2021","Mar 2021","76","","","","","",""
"Bob Marley","Africa Unite","song","","  69.970","Dec 2005","Dec 2005","","49","","","","",""
"Bob Marley","Africa Unite: The Singles Collection","album","","2246.791","Nov 2005","Aug 2011","101","26","","111","","",""
"Bob Marley","B Is For Bob","album",""," 354.707","Jul 2009","Aug 2009","77","","","","","",""
"Bob Marley","Babylon By Bus","album",""," 118.662","May 2001","Jul 2001","","","","115","","",""
"Bob Marley","Bob Marley","album","","   9.911","Mar 2015","Mar 2015","","","","191","","",""
"Bob Marley","Catch A Fire","album","","   9.965","Apr 2016","Apr 2016","","","","199","","",""
"Bob Marley","Chant Down Babylon","album","","8203.870","Jan 2000","May 2000","60","","66","30","","",""
"Bob Marley","Confrontation","album","","  41.516","Mar 2017","Apr 2017","","","","161","","",""
"Bob Marley","Easy Skanking In Boston '78","album","","  42.216","Feb 2015","Mar 2015","","","","133","","",""
"Bob Marley","Exodus","album",""," 352.372","Nov 2001","Aug 2020","","44","","149","","",""
"Bob Marley","Exodus [40th Anniversary]","album","","   8.549","Jun 2017","Jun 2017","","","","","","",""
"Bob Marley","Feel Alright","album","","  71.478","Aug 2008","Sep 2009","","","","146","","",""
"Bob Marley","Forever Bob Marley","album",""," 117.062","Jun 2007","Jul 2007","165","","","","","",""
"Bob Marley","Grooving Kingston 12","album","","  24.641","Mar 2004","Mar 2004","","","","182","","",""
"Bob Marley","High Tide Or Low Tide","song","","   3.283","Aug 2011","Aug 2011","","","","","","",""
"Bob Marley","I Know A Place","song",""," 374.425","Jun 2001","Nov 2001","","77","","54","","",""
"Bob Marley","I Shot The Sheriff","song","","  58.229","Nov 2005","Nov 2005","","67","","","","",""
"Bob Marley","Le coffret - The King Of Reggae","album",""," 101.647","Apr 2013","Mar 2015","","","","131","","",""
"Bob Marley","Legend, The Best Of Bob Marley","album","10","150421.465","Jan 2000","Jun 2021","5","5","45","64","24","45",""
"Bob Marley","Legend: Remixed","album",""," 186.779","Jul 2013","Jul 2013","89","","","","11","",""
"Bob Marley","Les 50 plus belles chansons / The 50 Greatest Songs","album","","   9.993","Dec 2012","Dec 2012","","","","194","","",""
"Bob Marley","Live Forever: September 23, 1980 * Stanley Theatre * Pittsburgh, PA","album","","1053.478","Feb 2011","Jul 2011","14","","","14","","",""
"Bob Marley","Lively Up Yourself","album",""," 167.192","Jul 2001","Jul 2001","","75","","","","",""
"Bob Marley","Marley","album",""," 617.544","Apr 2012","Sep 2012","120","81","","56","","",""
"Bob Marley","Natural Mystic - The Legend Lives On","album","","  69.627","Jan 2000","Aug 2001","","","","141","","",""
"Bob Marley","No Woman, No Cry","song",""," 127.601","Nov 2005","May 2012","","58","","102","","",""
"Bob Marley","One Love: The Very Best Of Bob Marley And The Wailers","album","1535","12386.696","May 2001","Jan 2002","60","5","17","","10","16",""
"Bob Marley","Rastaman Vibration","album","","  69.813","Mar 2017","May 2017","","","","158","","",""
"Bob Marley","Redemption Song","song","","   8.771","Sep 2013","Oct 2013","","","","184","","",""
"Bob Marley","Roots Of A Legend","album",""," 260.181","May 2004","Jun 2004","","51","","","","",""
"Bob Marley","Slogans","song",""," 123.814","Nov 2005","Dec 2005","","45","","","","",""
"Bob Marley","Stand Up Jamrock","song","","  64.959","Dec 2005","Dec 2005","","56","","","","",""
"Bob Marley","The Complete Island Recordings","album",""," 157.795","Dec 2020","Dec 2020","","","67","79","","",""
"Bob Marley","Uprising","album","","  44.926","Oct 2016","Oct 2016","","","","147","","",""
"Bob Marley & Funkstar Deluxe","Rainbow Country","song",""," 920.272","Jan 2000","Apr 2000","","11","47","78","","",""
"Bob Marley & Funkstar Deluxe","Sun Is Shining","song",""," 448.075","Jan 2000","Nov 2005","","54","","28","","36",""
"Bob Marley & Lauryn Hill","Turn Your Lights Down Low","song","","1422.862","Jan 2000","Apr 2000","","34","33","14","","",""
"Bob Marley & Lvndscape","Is This Love","song",""," 641.647","Jun 2016","Nov 2016","","16","","","","",""
"Bob Marley & MC Lyte","Jammin'","song",""," 239.361","Mar 2000","Jul 2000","","42","","","","",""
"Bob Seger & The Silver Bullet Band","'Live' Bullet","album",""," 124.933","Oct 2011","Oct 2011","89","","","","","",""
"Bob Seger & The Silver Bullet Band","Face The Promise","album","1967","9886.358","Sep 2006","Apr 2007","4","","","","6","",""
"Bob Seger & The Silver Bullet Band","Greatest Hits","album","609","26538.418","Feb 2010","Jun 2021","97","","","","","",""
"Bob Seger & The Silver Bullet Band","Greatest Hits 2","album","","6831.829","Nov 2003","May 2004","23","","","","","",""
