artist,name,category,position,score,from,to,us,uk,de,fr,ca,au
"21 Savage & Metro Boomin","My Dawg","song",""," 165.093","Oct 2020","Oct 2020","56","","","","51","",""
"21 Savage & Metro Boomin","No Heart","song","","2061.630","Nov 2016","Mar 2017","43","","","","79","",""
"21 Savage & Metro Boomin","No Opp Left Behind","song",""," 141.374","Oct 2020","Oct 2020","71","","","","78","",""
"21 Savage & Metro Boomin","RIP Luv","song",""," 134.304","Oct 2020","Oct 2020","76","","","","92","",""
"21 Savage & Metro Boomin","Run Up The Racks","song","","   5.646","Nov 2017","Dec 2017","","","","","95","",""
"21 Savage & Metro Boomin","Runnin","song","","1290.182","Oct 2020","Dec 2020","9","43","","115","13","",""
"21 Savage & Metro Boomin","Said N Done","song",""," 118.041","Oct 2020","Oct 2020","91","","","","96","",""
"21 Savage & Metro Boomin","Savage Mode","album","1473","12941.905","Aug 2016","Oct 2020","23","","29","","57","",""
"21 Savage & Metro Boomin","Savage Mode II","album","1236","14960.450","Oct 2020","Jun 2021","1","10","","15","1","4",""
"21 Savage & Metro Boomin","Slidin","song",""," 325.209","Oct 2020","Oct 2020","32","","","","39","",""
"21 Savage & Metro Boomin","Steppin On N*ggas","song",""," 136.809","Oct 2020","Oct 2020","74","","","","90","",""
"21 Savage & Metro Boomin & Drake","Mr Right Now","song","","3143.846","Oct 2020","Feb 2021","10","28","","125","9","39",""
"21 Savage & Metro Boomin & Future","X","song","","2618.477","Oct 2016","Mar 2017","36","","","","66","",""
"21 Savage & Metro Boomin & Thug","Rich Nigga Shit","song","","  42.775","Oct 2020","Oct 2020","","54","","","","",""
"21 Savage & Metro Boomin & Young Nudy","Snitches & Rats","song",""," 155.355","Oct 2020","Oct 2020","61","","","","72","",""
"21 Savage & Metro Boomin & Young Thug","Rich Nigga Shit","song",""," 378.276","Oct 2020","Oct 2020","26","","","147","33","",""
"21 Savage & XXXTentacion","21XXX","album","","   7.678","Dec 2017","Dec 2017","","","","","","",""
"21 Savage, Offset & Metro Boomin","Disrespectful","song","","   6.059","Nov 2017","Dec 2017","","","","","87","",""
"21 Savage, Offset & Metro Boomin","Ghostface Killers","song",""," 937.054","Nov 2017","Feb 2018","35","60","94","","14","",""
"21 Savage, Offset & Metro Boomin","Mad Stalkers","song","","  84.623","Nov 2017","Dec 2017","99","","","","77","",""
"21 Savage, Offset & Metro Boomin","Rap Saved Me","song",""," 326.398","Nov 2017","Dec 2017","64","","","","46","",""
"21 Savage, Offset & Metro Boomin","Without Warning","album","1197","15447.698","Nov 2017","Apr 2019","4","41","","","5","39",""
"23 & Peter Maffay","Erwachsen sein","song",""," 196.922","Dec 2011","Feb 2012","","","29","","","",""
"24kGoldn & DaBaby","CoCo","song","","  16.466","Dec 2020","Jan 2021","","","","","78","",""
"24kGoldn & Iann Dior","Mood","song","1009","7718.563","Aug 2020","Jun 2021","","","1","7","","1",""
"24kGoldn & iann dior","Mood","song","157","17892.466","Aug 2020","Jun 2021","1","","","","1","",""
"24kGoldn, Justin Bieber, J Balvin & Iann Dior","Mood (Remix)","song","","   9.409","Nov 2020","Nov 2020","","","","","","",""
"2Pac","All Eyez On Me","album","","3757.444","Oct 2001","Jan 2021","77","65","","99","","",""
"2Pac","Better Dayz","album","1221","15068.732","Dec 2002","Jun 2003","5","68","45","52","7","",""
"2Pac","Changes","song","","  57.651","Apr 2013","Mar 2015","","66","95","","","",""
"2Pac","Greatest Hits","album","179","57105.588","Jan 2000","Jun 2021","31","25","","","80","",""
"2Pac","Letter 2 My Unborn","song",""," 640.867","Nov 2001","Jan 2002","","21","76","","","",""
"2Pac","Live","album","","1880.013","Aug 2004","Oct 2004","54","67","86","84","","",""
"2Pac","Live At The House Of Blues","album",""," 196.558","Oct 2005","Oct 2005","159","","","179","","",""
